s1	R01L-10-T	R01L-12	R02H-7	R02H-8	R02H-9	R07B-1	R07B-2	R07B-3	R08H-1	R08H-2	R08H-3	R09L-2	R09L-3	R09L-4	R13L-3	R13L-4	R13L-5	R14B-2	R14B-4	R15H-1	R15H-2	R15H-3	R15H-6	R15H-7	R16L-1	R16L-2	R16L-3	R16L-4	R16L-5
R01L-10		-0.5900454393400265	-0.1920254293895156	-0.4751175983506236	-0.5339223403820871	-0.09494248813766504	0.45356398943175047	-0.4856529653958983	-0.2237209826095753	-0.08340367987118946	0.06268113064997394	-0.09381305676851337	-0.2086975795572733	-0.4484984212564419	0.2213127039890379	-0.05745123021109921	-0.3848462090993665	-0.06985952282796648	-0.01161151707666841	0.6844115600825667	0.5283081951577648	0.5287886936486783	0.09444387903496798	0.16756886103002788	0.2529684523200464	0.7567820103547069	0.577250413827096	0.47902017258075724	0.7538324098718323
R01L-12	-0.5900454393400265		0.44887976063513624	0.15969762974821067	0.08193612954566754	0.5244847895307412	0.8232803677283618	0.14632215941160887	0.422035480549543	0.5328650957426415	0.629446664330394	0.5253103965579444	0.43490217208315896	0.19248524451713211	0.7176448166924911	0.5512820284038034	0.26548461361513653	0.5425499858068754	0.5824242990817221	0.907840294764207	0.8525818425166671	0.8527638366041443	0.6483587612759103	0.6894464905117073	0.7335257278082263	0.9310709587024004	0.8707238496787659	0.8334860557454	0.9301509902557803
R02H-7	-0.1920254293895156	0.44887976063513624		-0.3115129470285978	-0.3809549524161945	0.09888576441351415	0.5938661588492244	-0.32382689351597993	-0.03311832015350502	0.11038970998667463	0.251677278931038	0.10001407543362761	-0.017368184364964345	-0.2806428222514462	0.39648830540112745	0.13607539616870712	-0.20820735724232797	0.12382702189769046	0.1808170813439256	0.7746314920468527	0.6539875027295143	0.6543689288096453	0.28136654978904607	0.34838416504834835	0.42437908389983603	0.8284202562008587	0.6925130197073146	0.6145195978932332	0.8262535177497383
R02H-8	-0.4751175983506236	0.15969762974821067	-0.3115129470285978		-0.07879250051931563	0.3981344983633126	0.7640349367578056	-0.013695497155183145	0.28129670464201983	0.4078766660582698	0.5222457754739585	0.39909300864113684	0.29574486490872376	0.033827451596664115	0.6301683747539368	0.4293869532845669	0.11047063655725542	0.41917098452212076	0.4660773536470584	0.8750001349345973	0.8020934923838203	0.802331165960936	0.5451017016375248	0.5952923126235243	0.6499667059799616	0.9061013856254649	0.8258648161495454	0.7772440803223233	0.9048645764481891
R02H-9	-0.5339223403820871	0.08193612954566754	-0.3809549524161945	-0.07879250051931563		0.4624208509305061	0.7949700621378482	0.06516732558592131	0.3522812192942044	0.47151577077044626	0.5772836038070508	0.4633162803454809	0.36600846151730604	0.11232057851846688	0.6754243398732149	0.4915491316970857	0.18762995757578538	0.4820428019318097	0.525569167338588	0.8922760476387981	0.8285241358791346	0.828733084523118	0.5982014922655303	0.6438837240326833	0.6932558403747722	0.919263960554789	0.8493861032667736	0.806637302110591	0.9181930845882245
R07B-1	-0.09494248813766504	0.5244847895307412	0.09888576441351415	0.3981344983633126	0.4624208509305061		0.5258615671539812	-0.4095966086156997	-0.13157319152169134	0.011630908228404069	0.1566911337891188	0.0011395814444761232	-0.11605462887748963	-0.36928047015303955	0.3097467989618521	0.03769687791234699	-0.3008980096618664	0.025250442325648326	0.08342293870450934	0.7318017625732933	0.5934822687584149	0.5939140170402739	0.1877032812410564	0.25840035339657264	0.33975098666761405	0.7946297420150765	0.6372671020858705	0.5489947279747247	0.7920848139080596
R07B-2	0.45356398943175047	0.8232803677283618	0.5938661588492244	0.7640349367578056	0.7949700621378482	0.5258615671539812		-0.7696766617786768	-0.6148908973277587	-0.5173951759433935	-0.40232080038506146	-0.5250366202488852	-0.6049942049409336	-0.7495806633886236	-0.25816583598860665	-0.4980374546879295	-0.7138125224886821	-0.5073478093701987	-0.4627384638438444	0.33476762118541337	0.09829869317313289	0.09895897662776743	-0.3751919617951892	-0.3095196095336207	-0.22659438304329937	0.461694085279184	0.1675559138628797	0.032522150464549204	0.45627343375817553
R07B-3	-0.4856529653958983	0.14632215941160887	-0.32382689351597993	-0.013695497155183145	0.06516732558592131	-0.4095966086156997	-0.7696766617786768		0.29386010626143433	0.4192303117862959	0.5321352204133676	0.4105445607113749	0.3081920692413924	0.04750094233634061	0.6383545724433553	0.44049206295024423	0.12397856031381904	0.43039568548267537	0.4767298076526627	0.8781720035624399	0.8069248641134041	0.8071573564027974	0.5546564450449463	0.6040629904277068	0.6578066600735095	0.908522563893515	0.8301705618732993	0.7826089059503762	0.9073160951708246
R08H-1	-0.2237209826095753	0.422035480549543	-0.03311832015350502	0.28129670464201983	0.3522812192942044	-0.13157319152169134	-0.6148908973277587	0.29386010626143433		0.142985287118075	0.28244141355265384	0.13269287721275957	0.01575920056092217	-0.24984668180343383	0.4240385638779167	0.16843465065661078	-0.17630474254745088	0.15630434684120242	0.21266190587439548	0.787545725308961	0.6725393157071688	0.6729043355776743	0.3115814334155327	0.377150955824342	0.45115652435938847	0.8385326880555881	0.7093622112544771	0.6347201837689915	0.8364822306321709
R08H-2	-0.08340367987118946	0.5328650957426415	0.11038970998667463	0.4078766660582698	0.47151577077044626	0.011630908228404069	-0.5173951759433935	0.4192303117862959	0.142985287118075		0.14532507472507183	-0.01049146584166849	-0.12751341685145978	-0.3792823352414717	0.2991937771834574	0.026077403293448764	-0.3114389695914216	0.013623535133026277	0.07186175682807594	0.7263532237122785	0.5858956445442871	0.5863333585975312	0.1764576081406135	0.2475133293507541	0.3294218258593473	0.7903030242451314	0.6303080339679983	0.5408171031424143	0.7877108222157643
R08H-3	0.06268113064997394	0.629446664330394	0.251677278931038	0.5222457754739585	0.5772836038070508	0.1566911337891188	-0.40232080038506146	0.5321352204133676	0.28244141355265384	0.14532507472507183		-0.15557933294950155	-0.2678745361825099	-0.4972020158532161	0.16086308707776897	-0.11970130353131248	-0.4369861007951843	-0.13196280499832846	-0.07423861515364016	0.6495979817442048	0.48157437837895434	0.48208635036687464	0.031951898805045564	0.10600110296608989	0.19335319737250645	0.7286658374406756	0.5338867519520598	0.4292268024570869	0.7254285529401117
R09L-2	-0.09381305676851337	0.5253103965579444	0.10001407543362761	0.39909300864113684	0.4633162803454809	0.0011395814444761232	-0.5250366202488852	0.4105445607113749	0.13269287721275957	-0.01049146584166849	-0.15557933294950155		-0.11717871300342064	-0.3702642350872499	0.30871618868388984	0.036558866987902006	-0.3019340585853837	0.024111554689604242	0.0822911804548585	0.7312720237581714	0.5927435724655088	0.593175904992959	0.18660361490253008	0.2573365493949371	0.3387425575070493	0.7942093531248686	0.6365898234800407	0.5481981125386515	0.7916598203659382
R09L-3	-0.2086975795572733	0.43490217208315896	-0.017368184364964345	0.29574486490872376	0.36600846151730604	-0.11605462887748963	-0.6049942049409336	0.3081920692413924	0.01575920056092217	-0.12751341685145978	-0.2678745361825099	-0.11717871300342064		-0.2645641915580029	0.41102604849227053	0.15308178970038577	-0.1915317870163844	0.14089219638361983	0.19756482042264945	0.7814856138448232	0.6638156864882812	0.6641884781510388	0.2972819688662638	0.363552565402105	0.4385151075184419	0.8337917155072427	0.7014444450682942	0.6252148085423048	0.8316865645844826
R09L-4	-0.4484984212564419	0.19248524451713211	-0.2806428222514462	0.033827451596664115	0.11232057851846688	-0.36928047015303955	-0.7495806633886236	0.04750094233634061	-0.24984668180343383	-0.3792823352414717	-0.4972020158532161	-0.3702642350872499	-0.2645641915580029		0.6093300048970218	0.4013897139263187	0.07693067026808187	0.3908860969387249	0.43917401135381784	0.8668300061095029	0.7896925952868703	0.7899434256480644	0.5208789460216361	0.5730035608766455	0.6299906813877725	0.8998554954941556	0.8148003625061151	0.7634904623574343	0.8985407960910012
R13L-3	0.2213127039890379	0.7176448166924911	0.39648830540112745	0.6301683747539368	0.6754243398732149	0.3097467989618521	-0.25816583598860665	0.6383545724433553	0.4240385638779167	0.2991937771834574	0.16086308707776897	0.30871618868388984	0.41102604849227053	0.6093300048970218		-0.2752640380844924	-0.5585835916221974	-0.28673901232494536	-0.23232719216698583	0.5457653772927871	0.3476422842679172	0.34822833537227105	-0.12957719966967585	-0.05581370061786872	0.03353310356754391	0.6431951503863589	0.40806978827377605	0.28826765999995096	0.6391509830516207
R13L-4	-0.05745123021109921	0.5512820284038034	0.13607539616870712	0.4293869532845669	0.4915491316970857	0.03769687791234699	-0.4980374546879295	0.44049206295024423	0.16843465065661078	0.026077403293448764	-0.11970130353131248	0.036558866987902006	0.15308178970038577	0.4013897139263187	-0.2752640380844924		-0.3347973099661592	-0.012458294173992246	0.0458703130340532	0.7137961225401435	0.5685042107255434	0.5689553112901871	0.1510753867314103	0.22287447042094755	0.30597287206108614	0.7803070076234278	0.6143282187756134	0.5221029732707534	0.7776065879372598
R13L-5	-0.3848462090993665	0.26548461361513653	-0.20820735724232797	0.11047063655725542	0.18762995757578538	-0.3008980096618664	-0.7138125224886821	0.12397856031381904	-0.17630474254745088	-0.3114389695914216	-0.4369861007951843	-0.3019340585853837	-0.1915317870163844	0.07693067026808187	-0.5585835916221974	-0.3347973099661592		0.3236891242221429	0.37491003311564897	0.8463380790350625	0.7588641198039163	0.7591467705570942	0.46248059775653005	0.5189489642896477	0.5812296583788841	0.8841300415334197	0.7872147852767057	0.7294018153125232	0.8826216526933894
