	M	Fst	physical_dist	str_dist
('R01L', 'R02H')	-1.8222698953903078	-0.37813762662456285	0.18532487774155276	3.0
('R01L', 'R07B')	-2.034829881512934	-0.32576900282077714	1.8561363929659311	4.0
('R01L', 'R08H')	1.5369631933549983	0.24546344363565575	1.8567210047089546	4.0
('R01L', 'R09L')	-1.6459693601760905	-0.43631183989349387	1.8527665389388628	4.0
('R01L', 'R13L')	-1.6697602565068834	-0.42743801323280617	3.339842331138504	4.0
('R01L', 'R14B')	-1.1605548393143654	-0.7569394246191334	3.345969953674288	4.0
('R01L', 'R15H')	1.7776498009385966	0.21952452909747366	63.3024943748903	30.0
('R01L', 'R16L')	3.301150843810493	0.13153911027081766	64.84217718856435	31.0
('R02H', 'R07B')	7.87156314944175	0.05972600230977676	1.6712343972527337	4.0
('R02H', 'R08H')	0.3762163954781732	0.5706352934963486	1.671863108074458	4.0
('R02H', 'R09L')	-7.676840299793369	-0.06966854202042028	1.6679439616696492	4.0
('R02H', 'R13L')	-9.002667644464754	-0.058805073996453405	3.157025203285785	4.0
('R02H', 'R14B')	-1.4421453729295513	-0.5307036624775605	3.1630401431053166	4.0
('R02H', 'R15H')	0.4060390339676163	0.5518526037564415	63.14053982256718	30.0
('R02H', 'R16L')	0.529809495878159	0.48552669401599413	64.67614052022392	31.0
('R07B', 'R08H')	0.4452932759348339	0.5289363763912658	0.006085031303010179	3.0
('R07B', 'R09L')	-4.380229374042033	-0.1288583616589527	0.011195449940015978	3.0
('R07B', 'R13L')	-4.733118534217646	-0.11811622943188116	1.5028106714494631	4.0
('R07B', 'R14B')	-1.373683073277273	-0.5722899015594405	1.5074867933037692	4.0
('R07B', 'R15H')	0.48251145870864964	0.5088999172153861	61.630517192290405	30.0
('R07B', 'R16L')	0.6402064985625813	0.43851705864712454	63.13341331535589	30.0
('R08H', 'R09L')	-1.3119233957767342	-0.6158216435205321	0.006086279254191242	3.0
('R08H', 'R13L')	-1.3210120481912528	-0.6090044611422392	1.5009702183876887	4.0
('R08H', 'R14B')	-1.0914792322248221	-0.8453382177414291	1.5056956921888536	4.0
('R08H', 'R15H')	-18.737362086462007	-0.0274162457064534	61.62733522372399	30.0
('R08H', 'R16L')	-4.747169715363169	-0.11772545801298306	63.130488383819056	30.0
('R09L', 'R13L')	45.337256299467086	0.010908157258221696	1.5039029422620624	4.0
('R09L', 'R14B')	-1.5444178836477795	-0.4787355787643909	1.508673549248579	4.0
('R09L', 'R15H')	0.33540743011719365	0.5985103579098625	61.62887726066765	30.0
('R09L', 'R16L')	0.43104719725682383	0.5370297031913818	63.13231603618901	30.0
('R13L', 'R14B')	-1.5264831846351292	-0.4871000397125147	0.01361929772038306	3.0
('R13L', 'R15H')	0.34536047839295214	0.5914636569602951	60.17224884285162	29.0
('R13L', 'R16L')	0.4447835801725091	0.5292217291802472	61.65896361014947	30.0
('R14B', 'R15H')	0.09713764461359575	0.8373278832948927	60.170902271483925	29.0
('R14B', 'R16L')	0.11879217970049227	0.8080257256030772	61.65693930872846	30.0
('R15H', 'R16L')	-6.018664067924447	-0.09060163725241	3.3969456358179517	4.0
