	Sample	read_id	Sample_id	Site	Region	Flow	Ind	Duplicate	seqid
0	R07B-1-Ta	R07B-1-Ta_LpxA_CC_0	A13	R07B	MEF	B	R07B-1	n	FLD0083
1	R07B-1-Ta	R07B-1-Ta_LpxA_CC_1	A13	R07B	MEF	B	R07B-1	n	FLD0083
2	R07B-1-Ta	R07B-1-Ta_LpxA_CC_2	A13	R07B	MEF	B	R07B-1	n	FLD0083
3	R07B-1-Ta	R07B-1-Ta_LpxA_CC_3	A13	R07B	MEF	B	R07B-1	n	FLD0083
4	R07B-1-Ta	R07B-1-Ta_LpxA_CC_4	A13	R07B	MEF	B	R07B-1	n	FLD0083
5	R07B-1-Ta	R07B-1-Ta_LpxA_CC_5	A13	R07B	MEF	B	R07B-1	n	FLD0083
6	R07B-1-Ta	R07B-1-Ta_LpxA_CC_6	A13	R07B	MEF	B	R07B-1	n	FLD0083
7	R07B-1-Ta	R07B-1-Ta_LpxA_CC_7	A13	R07B	MEF	B	R07B-1	n	FLD0083
8	R07B-1-Ta	R07B-1-Ta_LpxA_CC_8	A13	R07B	MEF	B	R07B-1	n	FLD0083
9	R07B-1-Ta	R07B-1-Ta_LpxA_CC_9	A13	R07B	MEF	B	R07B-1	n	FLD0083
10	R07B-1-Ta	R07B-1-Ta_LpxA_CC_10	A13	R07B	MEF	B	R07B-1	n	FLD0083
11	R07B-1-Ta	R07B-1-Ta_LpxA_CC_11	A13	R07B	MEF	B	R07B-1	n	FLD0083
12	R07B-1-Ta	R07B-1-Ta_LpxA_CC_12	A13	R07B	MEF	B	R07B-1	n	FLD0083
13	R07B-1-Ta	R07B-1-Ta_LpxA_CC_13	A13	R07B	MEF	B	R07B-1	n	FLD0083
14	R07B-1-Ta	R07B-1-Ta_LpxA_CC_14	A13	R07B	MEF	B	R07B-1	n	FLD0083
15	R07B-1-Ta	R07B-1-Ta_LpxA_CC_15	A13	R07B	MEF	B	R07B-1	n	FLD0083
16	R07B-1-Ta	R07B-1-Ta_LpxA_CC_16	A13	R07B	MEF	B	R07B-1	n	FLD0083
17	R07B-1-Ta	R07B-1-Ta_LpxA_CC_17	A13	R07B	MEF	B	R07B-1	n	FLD0083
18	R07B-1-Ta	R07B-1-Ta_LpxA_CC_18	A13	R07B	MEF	B	R07B-1	n	FLD0083
19	R07B-1-Ta	R07B-1-Ta_LpxA_CC_19	A13	R07B	MEF	B	R07B-1	n	FLD0083
20	R07B-1-Ta	R07B-1-Ta_LpxA_CC_20	A13	R07B	MEF	B	R07B-1	n	FLD0083
21	R07B-1-Ta	R07B-1-Ta_LpxA_CC_21	A13	R07B	MEF	B	R07B-1	n	FLD0083
22	R07B-1-Ta	R07B-1-Ta_LpxA_CC_22	A13	R07B	MEF	B	R07B-1	n	FLD0083
23	R07B-1-Ta	R07B-1-Ta_LpxA_CC_23	A13	R07B	MEF	B	R07B-1	n	FLD0083
24	R07B-1-Ta	R07B-1-Ta_LpxA_CC_24	A13	R07B	MEF	B	R07B-1	n	FLD0083
25	R07B-1-Ta	R07B-1-Ta_LpxA_CC_25	A13	R07B	MEF	B	R07B-1	n	FLD0083
