	Sample	read_id	seqid	Sample_id	Site	Ind	Region	Flow	dupl
0	R01L-10-T	R01L-10-T_2_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
1	R01L-10-T	R01L-10-T_2_1	PBBC36	C36	R01L	R01L-10	MEF	L	n
2	R01L-10-T	R01L-10-T_2_2	PBBC36	C36	R01L	R01L-10	MEF	L	n
3	R01L-10-T	R01L-10-T_2_3	PBBC36	C36	R01L	R01L-10	MEF	L	n
4	R01L-10-T	R01L-10-T_2_4	PBBC36	C36	R01L	R01L-10	MEF	L	n
5	R01L-10-T	R01L-10-T_2_5	PBBC36	C36	R01L	R01L-10	MEF	L	n
6	R01L-10-T	R01L-10-T_2_6	PBBC36	C36	R01L	R01L-10	MEF	L	n
7	R01L-10-T	R01L-10-T_2_7	PBBC36	C36	R01L	R01L-10	MEF	L	n
8	R01L-10-T	R01L-10-T_2_8	PBBC36	C36	R01L	R01L-10	MEF	L	n
9	R01L-10-T	R01L-10-T_2_9	PBBC36	C36	R01L	R01L-10	MEF	L	n
10	R01L-10-T	R01L-10-T_2_10	PBBC36	C36	R01L	R01L-10	MEF	L	n
11	R01L-10-T	R01L-10-T_2_11	PBBC36	C36	R01L	R01L-10	MEF	L	n
12	R01L-10-T	R01L-10-T_2_12	PBBC36	C36	R01L	R01L-10	MEF	L	n
13	R01L-10-T	R01L-10-T_2_13	PBBC36	C36	R01L	R01L-10	MEF	L	n
14	R01L-10-T	R01L-10-T_2_14	PBBC36	C36	R01L	R01L-10	MEF	L	n
15	R01L-10-T	R01L-10-T_2_15	PBBC36	C36	R01L	R01L-10	MEF	L	n
16	R01L-10-T	R01L-10-T_2_16	PBBC36	C36	R01L	R01L-10	MEF	L	n
17	R01L-10-T	R01L-10-T_2_17	PBBC36	C36	R01L	R01L-10	MEF	L	n
18	R01L-10-T	R01L-10-T_2_18	PBBC36	C36	R01L	R01L-10	MEF	L	n
19	R01L-10-T	R01L-10-T_2_19	PBBC36	C36	R01L	R01L-10	MEF	L	n
20	R01L-10-T	R01L-10-T_2_20	PBBC36	C36	R01L	R01L-10	MEF	L	n
21	R01L-10-T	R01L-10-T_2_21	PBBC36	C36	R01L	R01L-10	MEF	L	n
22	R01L-10-T	R01L-10-T_2_22	PBBC36	C36	R01L	R01L-10	MEF	L	n
23	R01L-10-T	R01L-10-T_2_23	PBBC36	C36	R01L	R01L-10	MEF	L	n
