"level"	"PropVariance"	"Df"	"SumofSquares"	"F"	"pval"	"Distance_used"
""	"Region"	"0.169983273970839"	"2"	"1.28923260492965"	"4.19829746452577"	"0.001"	"Phi-st"
"1"	"Site within Region"	"0.225514975361448"	"6"	"1.7104109854112"	"2.17617901269718"	"0.004"	"Phi-st"
"2"	"Ind within Site"	"0.338632895060105"	"20"	"2.56835016301722"	"0.955262964948088"	"0.567"	"Phi-st"
"3"	"Sample within Ind"	"0.265868855607608"	"15"	"2.01647367577743"	NA	NA	"Phi-st"
"4"	"Total"	"1"	NA	NA	NA	NA	"Phi-st"
"5"	"Flow within Region"	"0.0601522462557166"	"2"	"0.45622275251582"	"1.52360426127421"	"0.097"	"Phi-st"
"6"	"Site within Flow + Region"	"0.165362729105731"	"4"	"1.25418823289537"	"2.3935809583296"	"0.007"	"Phi-st"
"7"	"Region"	"0.0921001401756477"	"2"	"1.91955285992391"	"2.07958273500125"	"0.081"	"Euclidian"
"11"	"Site within Region"	"0.123536619012962"	"6"	"2.57475254521232"	"0.918745601629861"	"0.525"	"Euclidian"
"21"	"Ind within Site"	"0.5173558669794"	"20"	"10.7827407446368"	"1.45320669408259"	"0.109"	"Euclidian"
"31"	"Sample within Ind"	"0.267007371913812"	"15"	"5.56497268517126"	NA	NA	"Euclidian"
"41"	"Total"	"0.999999998081822"	NA	NA	NA	NA	"Euclidian"
"51"	"Flow within Region"	"0.032938330951458"	"2"	"0.68650131539875"	"0.734086508215765"	"0.538"	"Euclidian"
"61"	"Site within Flow + Region"	"0.0905982880615032"	"4"	"1.88825122981357"	"1.01067334532162"	"0.409"	"Euclidian"
"8"	"Region"	"0.0707360295666362"	"2"	"0.57008596511106"	"1.56047006260212"	"0.101"	"Hellinger"
"12"	"Site within Region"	"0.111303963724181"	"6"	"0.897036884443886"	"0.793771231354629"	"0.786"	"Hellinger"
"22"	"Ind within Site"	"0.51968878459443"	"20"	"4.18835046493263"	"1.30675224274861"	"0.301"	"Hellinger"
"32"	"Sample within Ind"	"0.298271222114753"	"15"	"2.40387025630212"	NA	NA	"Hellinger"
"42"	"Total"	"1"	NA	NA	NA	NA	"Hellinger"
"52"	"Flow within Region"	"0.0463552041142674"	"2"	"0.373592516250965"	"1.02380508010668"	"0.404"	"Hellinger"
"62"	"Site within Flow + Region"	"0.0649487596099132"	"4"	"0.523444368192919"	"0.694779258063157"	"0.832"	"Hellinger"
"9"	"Region"	"0.0299050805180975"	"2"	"0.285832942220493"	"0.631952748446938"	"0.855"	"Jaccard (presence/absence)"
"13"	"Site within Region"	"0.0845716782246965"	"6"	"0.808336616945769"	"0.557111057800876"	"0.991"	"Jaccard (presence/absence)"
"23"	"Ind within Site"	"0.493805944203042"	"20"	"4.71980023033569"	"0.945463631393003"	"0.611"	"Jaccard (presence/absence)"
"33"	"Sample within Ind"	"0.391717297054164"	"15"	"3.74403631743753"	NA	NA	"Jaccard (presence/absence)"
"43"	"Total"	"1"	NA	NA	NA	NA	"Jaccard (presence/absence)"
"53"	"Flow within Region"	"0.0270033025412677"	"2"	"0.258097730596971"	"0.558338543250847"	"0.918"	"Jaccard (presence/absence)"
"63"	"Site within Flow + Region"	"0.0575683756834286"	"4"	"0.550238886348797"	"0.568842537113818"	"0.96"	"Jaccard (presence/absence)"
