Site	lat	long	Depth	Temp_plume	Temp_base
R07B	47° 56.9995	129° 5.8242	2195	2.8	2.8
R04B	47° 57.005	129° 5.8298	2197	2.3	2.7
R14B	47° 57.7834	129° 5.4999	2180	2.5	3.9
R02H	47º 56.9600 N	129º 05.9185 W	2195		
R05H	47° 57.0047	129° 5.8262	2181	5.5	28.5
R08H	47° 56.9996	129° 5.8193	2197	13.7	37.9
R10H	47° 56.9802	129° 5.8964	2185	6.6	56.5
R11H	47° 56.9674	129° 5.9121	2180	6	37
R15H	48° 25.8171	128° 40.9278	2433	20.7	24.5
R03L	47º 56.9522 N	129º 05.9138 W	2193		
R01L	47º 56.9663 N	129º 05.9185 W	2190		
R06L	47° 57.007	129° 5.818	2188	4.5	5.3
R09L	47° 56.9973	129° 5.8158	2197	2.9	7.5
R12L	47° 57.7779	129° 5.4928	2183	2.4	14.6
R13L	47° 57.7791	129° 5.491	2182	6	30
R16L	48° 27.3174	128° 42.5152	2410	2.9	21.1
