	R09L-4-Ta	R09L-4-Tb	R09L-4-Tc	R07B-2-Ta	R07B-2-Tb	R07B-2-Tc	R07B-2-Td	R15H-3-T_old	R08H-1-T	R08H-2-Tb	R08H-3-Ta	R14B-3-T	R16L-3-T	R13L-5-T	R08H-2-Ta	R15H-1-T	R09L-3-T	R09L-2-Tc	R09L-2-Tb	R09L-2-Ta	R08H-3-Tc	R08H-3-Tb	R08H-2-Tc	R07B-3-T	R07B-1-Td	R07B-1-Tc	R07B-1-Tb	R07B-1-Ta	R16L-3-T_bis	R16L-2-T	R16L-1-T	R15H-3-T	R15H-2-T	R13L-3-T	R13L-5-T_bis	R13L-4-T	R14B-4-T	R14B-2-T
R09L-4-Ta	0																																					
R09L-4-Tb	0.21573	0																																				
R09L-4-Tc	0.19812	-0.00112	0																																			
R07B-2-Ta	0.0737	0.04688	0.03848	0																																		
R07B-2-Tb	0.14709	0.50535	0.48559	0.33926	0																																	
R07B-2-Tc	0.38822	0.70475	0.68166	0.56669	0.1136	0																																
R07B-2-Td	0.46366	0.73511	0.71688	0.6269	0.15333	0.00469	0																															
R15H-3-T_old	0.42797	0.74145	0.71575	0.56385	0.58947	0.82938	0.80699	0																														
R08H-1-T	0.24014	0.53163	0.51897	0.3589	0.40847	0.61653	0.64454	0.11702	0																													
R08H-2-Tb	0.0833	0.03908	0.02751	0.00238	0.35197	0.57856	0.63818	0.59475	0.39897	0																												
R08H-3-Ta	0.47413	0.74695	0.72438	0.59463	0.64089	0.82696	0.80592	0.01937	0.09392	0.62458	0																											
R14B-3-T	0.5021	0.78179	0.75583	0.62832	0.66445	0.8621	0.82803	-0.00662	0.14237	0.65544	0.02263	0																										
R16L-3-T	0.58245	0.82764	0.80209	0.69766	0.73583	0.89856	0.85577	-0.00019	0.19079	0.72021	0.05159	0.0046	0																									
R13L-5-T	0.13432	0.28776	0.2807	0.13757	0.39145	0.60984	0.65366	0.34798	0.12804	0.18115	0.35169	0.40732	0.4869	0																								
R08H-2-Ta	0.14885	0.00815	0.00193	0.01839	0.43165	0.64042	0.68617	0.66879	0.47304	0.00815	0.68617	0.71714	0.77068	0.23973	0																							
R15H-1-T	0.42048	0.73686	0.71132	0.557	0.58161	0.82538	0.8047	-0.01023	0.1136	0.58831	0.01742	-0.00731	0.00088	0.34145	0.66355	0																						
R09L-3-T	0.1094	0.20931	0.2039	0.08084	0.37644	0.59903	0.6476	0.41527	0.18789	0.12015	0.4301	0.48066	0.56138	0.00737	0.16815	0.4082	0																					
R09L-2-Tc	0.05757	0.26765	0.25874	0.11563	0.25719	0.47243	0.52797	0.28447	0.09449	0.15033	0.29331	0.33238	0.39801	0.02441	0.21518	0.27935	0.03135	0																				
R09L-2-Tb	0.04826	0.15902	0.15021	0.03881	0.29747	0.52509	0.58606	0.40545	0.19921	0.06504	0.43	0.4691	0.54561	0.03374	0.11332	0.39879	0.01203	0.02301	0																			
R09L-2-Ta	0.10097	0.33941	0.32946	0.17215	0.31016	0.53332	0.58412	0.24127	0.05363	0.21057	0.24216	0.28951	0.35888	0.02304	0.28212	0.23597	0.04785	0.0063	0.05178	0																		
R08H-3-Tc	0.47851	0.74232	0.72128	0.59513	0.64447	0.82014	0.80186	0.02576	0.08623	0.62533	-0.00193	0.02982	0.05799	0.34588	0.68475	0.02378	0.4263	0.29172	0.42996	0.23772	0																	
R08H-3-Tb	0.31128	0.57809	0.56438	0.41364	0.50245	0.69323	0.70822	0.10617	0.01049	0.45343	0.06999	0.12532	0.16968	0.14981	0.52208	0.10304	0.22147	0.13612	0.24482	0.08288	0.06024	0																
R08H-2-Tc	0.31719	0.02035	0.03091	0.12163	0.6016	0.79157	0.79684	0.85879	0.62371	0.11239	0.84046	0.88199	0.91287	0.38966	0.05792	0.85571	0.30761	0.3581	0.25244	0.43761	0.83017	0.66783	0															
R07B-3-T	0.03447	0.23029	0.21889	0.07819	0.24444	0.4843	0.5486	0.3506	0.14014	0.10851	0.37867	0.421	0.50537	0.03222	0.17277	0.34328	0.02585	0.00122	0.00734	0.02191	0.37827	0.19216	0.33409	0														
R07B-1-Td	0.07248	0.32948	0.31714	0.15064	0.26492	0.51212	0.56928	0.28657	0.0709	0.18904	0.30417	0.35771	0.44826	0.02931	0.26511	0.27901	0.04591	-0.00129	0.04049	0.00004	0.30011	0.11645	0.44199	0.00955	0													
R07B-1-Tc	0.21382	0.47772	0.46487	0.29812	0.42557	0.6455	0.67664	0.18357	0.01705	0.34165	0.15959	0.22562	0.2971	0.06262	0.41649	0.17841	0.11698	0.06322	0.14184	0.02593	0.14886	0.01727	0.58314	0.10061	0.04661	0												
R07B-1-Tb	0.04099	0.30299	0.29126	0.13662	0.19655	0.42401	0.48463	0.2879	0.09616	0.16838	0.30933	0.34647	0.42135	0.06028	0.24184	0.28186	0.06772	0.0049	0.04387	0.018	0.30941	0.15281	0.40056	0.00916	0.00368	0.08282	0											
R07B-1-Ta	0.04468	0.27605	0.2655	0.11713	0.2287	0.45377	0.51359	0.29235	0.09874	0.1499	0.30928	0.34805	0.4207	0.03815	0.21876	0.28654	0.04367	-0.00159	0.02713	0.0106	0.3086	0.14791	0.37183	0.00123	-0.00026	0.07376	-0.00064	0										
