	R09L-4-Ta	R09L-4-Tb	R09L-4-Tc	R07B-2-Ta	R07B-2-Tb	R07B-2-Tc	R07B-2-Td	R15H-3-T_old	R08H-1-T	R08H-2-Tb	R08H-3-Ta	R14B-3-T	R16L-3-T	R13L-5-T	R08H-2-Ta	R15H-1-T	R09L-3-T	R09L-2-Tc	R09L-2-Tb	R09L-2-Ta	R08H-3-Tc	R08H-3-Tb	R08H-2-Tc	R07B-3-T	R07B-1-Td	R07B-1-Tc	R07B-1-Tb	R07B-1-Ta	R16L-3-T_bis	R16L-2-T	R16L-1-T	R15H-3-T	R15H-2-T	R13L-3-T	R13L-5-T_bis	R13L-4-T	R14B-4-T	R14B-2-T
R09L-4-Ta	*																																					
R09L-4-Tb	0.00000+-0.0000	*																																				
R09L-4-Tc	0.00000+-0.0000	0.46847+-0.0504	*																																			
R07B-2-Ta	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																																		
R07B-2-Tb	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																																	
R07B-2-Tc	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																																
R07B-2-Td	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.08108+-0.0252	*																															
R15H-3-T_old	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																														
R08H-1-T	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																													
R08H-2-Tb	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.17117+-0.0515	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																												
R08H-3-Ta	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.05405+-0.0201	0.00000+-0.0000	0.00000+-0.0000	*																											
R14B-3-T	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.99099+-0.0030	0.00000+-0.0000	0.00000+-0.0000	0.01802+-0.0121	*																										
R16L-3-T	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.40541+-0.0720	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.36036+-0.0332	*																									
R13L-5-T	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																								
R08H-2-Ta	0.00000+-0.0000	0.05405+-0.0201	0.19820+-0.0326	0.01802+-0.0121	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.03604+-0.0201	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																							
R15H-1-T	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.99099+-0.0030	0.00000+-0.0000	0.00000+-0.0000	0.15315+-0.0237	0.99099+-0.0030	0.29730+-0.0508	0.00000+-0.0000	0.00000+-0.0000	*																						
R09L-3-T	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.07207+-0.0182	0.00000+-0.0000	0.00000+-0.0000	*																					
R09L-2-Tc	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00901+-0.0091	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																				
R09L-2-Tb	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00901+-0.0091	0.00000+-0.0000	*																			
R09L-2-Ta	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.05405+-0.0201	0.00000+-0.0000	*																		
R08H-3-Tc	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00901+-0.0091	0.00000+-0.0000	0.00000+-0.0000	0.61261+-0.0603	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.04505+-0.0244	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																	
R08H-3-Tb	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00901+-0.0091	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	0.00000+-0.0000	*																
