	R09L-4-Ta	R09L-4-Tb	R09L-4-Tc	R07B-2-Ta	R07B-2-Tb	R07B-2-Tc	R07B-2-Td	R15H-3-T_old	R08H-1-T	R08H-2-Tb	R08H-3-Ta	R14B-3-T	R16L-3-T	R13L-5-T	R08H-2-Ta	R15H-1-T	R09L-3-T	R09L-2-Tc	R09L-2-Tb	R09L-2-Ta	R08H-3-Tc	R08H-3-Tb	R08H-2-Tc	R07B-3-T	R07B-1-Td	R07B-1-Tc	R07B-1-Tb	R07B-1-Ta	R16L-3-T_bis	R16L-2-T	R16L-1-T	R15H-3-T	R15H-2-T	R13L-3-T	R13L-5-T_bis	R13L-4-T	R14B-4-T	R14B-2-T
R09L-4-Ta	0																																					
R09L-4-Tb	0.21675	0																																				
R09L-4-Tc	0.21247	-0.0016	0																																			
R07B-2-Ta	0.04916	0.12283	0.12435	0																																		
R07B-2-Tb	0.0353	0.34276	0.33446	0.12459	0																																	
R07B-2-Tc	0.53388	0.86086	0.87125	0.75365	0.36489	0																																
R07B-2-Td	0.3635	0.69484	0.69146	0.51237	0.20747	0.06989	0																															
R15H-3-T_old	0.54878	0.88043	0.89392	0.77994	0.38302	0.02087	0.09663	0																														
R08H-1-T	0.12723	0.04364	0.04515	0.01904	0.23161	0.73708	0.58944	0.74786	0																													
R08H-2-Tb	0.09099	0.03547	0.03714	0.02955	0.20216	0.77948	0.58643	0.7989	0.02378	0																												
R08H-3-Ta	0.25343	0.03381	0.03524	0.12883	0.36437	0.86851	0.70381	0.88757	0.03436	0.08178	0																											
R14B-3-T	0.25929	0.4515	0.43807	0.20629	0.22389	0.57081	0.42155	0.56772	0.29303	0.33667	0.4097	0																										
R16L-3-T	0.6025	0.89793	0.91105	0.83289	0.43338	0.01885	0.11073	-0.001	0.78399	0.83626	0.90584	0.63221	0																									
R13L-5-T	0.2073	0.13946	0.13948	0.06832	0.29023	0.77949	0.62703	0.78997	0.03514	0.1154	0.07011	0.25113	0.82642	0																								
R08H-2-Ta	0.16321	0.00283	0.00364	0.0779	0.28373	0.83885	0.65389	0.86038	0.03017	0.01308	0.04474	0.39661	0.88488	0.12297	0																							
R15H-1-T	0.58349	0.88732	0.89958	0.80956	0.41469	0.01239	0.09714	0.00302	0.77047	0.81983	0.89502	0.61139	0.00171	0.81254	0.87159	0																						
R09L-3-T	0.18299	0.18882	0.18603	0.06077	0.24614	0.71605	0.57205	0.72231	0.05898	0.13596	0.12606	0.17453	0.7669	0.01234	0.16095	0.75171	0																					
R09L-2-Tc	0.15371	0.2682	0.26079	0.08007	0.17038	0.57909	0.44719	0.58126	0.12733	0.18222	0.22471	0.0609	0.63354	0.08899	0.2275	0.61686	0.0382	0																				
R09L-2-Tb	0.09628	0.1359	0.13379	0.0128	0.15966	0.64911	0.49903	0.655	0.02915	0.07153	0.1089	0.16004	0.70632	0.0315	0.10477	0.68932	0.01764	0.03753	0																			
R09L-2-Ta	0.19226	0.27961	0.27263	0.09994	0.21594	0.61886	0.49314	0.62117	0.13632	0.20312	0.22588	0.07418	0.66907	0.08096	0.2425	0.65372	0.03092	0.00267	0.04649	0																		
R08H-3-Tc	0.20458	0.13744	0.13716	0.06571	0.2881	0.75922	0.6191	0.76814	0.03571	0.114	0.07209	0.24973	0.80354	-0.0016	0.12164	0.79052	0.00992	0.08519	0.0291	0.07698	0																	
R08H-3-Tb	0.23987	0.06918	0.07085	0.09485	0.34561	0.82121	0.67817	0.83431	0.02398	0.09024	0.013	0.36099	0.85853	0.02317	0.07032	0.84774	0.06922	0.17352	0.07129	0.16932	0.02617	0																
R08H-2-Tc	0.34401	0.04314	0.04386	0.31047	0.45484	0.94522	0.77183	0.97135	0.11344	0.15269	0.05801	0.53788	0.97248	0.21527	0.07789	0.96464	0.27132	0.34887	0.22556	0.35413	0.20434	0.11001	0															
R07B-3-T	0.03185	0.19624	0.19132	0.0279	0.05138	0.48166	0.34122	0.4901	0.0911	0.09757	0.19736	0.13229	0.53974	0.12161	0.15331	0.52302	0.08799	0.05155	0.03408	0.07958	0.11925	0.17157	0.2892	0														
R07B-1-Td	0.20811	0.32511	0.31635	0.1237	0.21752	0.61094	0.4806	0.61196	0.17286	0.23726	0.27169	0.05078	0.66406	0.11489	0.28274	0.6475	0.05471	0.00452	0.06832	0.00202	0.11092	0.21388	0.40453	0.08872	0													
